name,country,continent
Brands Hatch,United Kingdom,Europe
Circuit de Barcelona-Catalunya,Spain,Europe
Circuit de Spa-Francorchamps,Belgium,Europe
Daytona International Speedway,United States,North America
Eagle Rock Speedway,United States,North America
Fujimi Kaido,Japan,Asia
Grand Oak Raceway,United States,North America
Hakone Circuit,Japan,Asia
Hockenheimring,Germany,Europe
Homestead-Miami Speedway,United States,North America
Indianapolis Motor Speedway,United States,North America
Kyalami,South Africa,Africa
Le Mans,France,Europe
Lime Rock Park,United States,North America
Maple Valley Raceway,United States,North America
Road Atlanta,United States,North America
Mid-Ohio,United States,North America
Bathurst Mount Panorama,Australia,Oceania
Mugello,Italy,Europe
NÃ¼rburgring,Germany,Europe
Road America,United States,North America
Sebring International Raceway,United States,North America
Silverstone,United Kingdom,Europe
Sunset Peninsula Raceway,United States,North America
Suzuka,Japan,Asia
Virginia International Raceway,United States,North America
Watkins Glen,United States,North America 
Laguna Seca,United States,North America
Yas Marina,United Arab Emirates,Middle East